,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81
A,-0.798169989134469,-0.7281964130426164,0.4064687242294486,0.19392676615834803,0.21368074816923266,-0.2787958028174754,1.0133487954181888,0.5437846208531489,-0.13140759108078875,-0.9586647343454421,0.5973756430222738,0.009626124439156244,-0.04431627718731248,-0.15892268913333865,0.025087681317245168,0.395117090219813,-1.012157759983737,-0.655524759280757,-0.00694265783197118,-0.09256574121324035,0.5695289539330521,0.41821243365068417,-0.061805821905280695,0.24592771796579854,0.3279016866954365,-0.05139534041911478,0.6184722085132673,0.33169802804061294,-0.1358501303664159,0.4654553979142484,0.0913617731585164,-0.04993648037236375,0.07542998695111734,0.18646453092177118,0.40189988869056953,0.031208512795112102,0.3935730517838296,-0.7740523548892247,0.03753886221229788,-0.02873425726966309,-0.7190634821802419,0.5351616608960165,-0.004023654261103086,-0.7138042766254723,0.5979374970680527,-0.7753801432650437,-0.3570363939498687,-0.24199768554571793,1.5098908124159325,-0.25999969126747763,-0.10154053054168569,-0.3996349191004759,0.35827357444957364,-0.059151178757904516,0.04379764115523346,0.7375500572838078,-1.0648024986623683,-0.1749140166989592,-0.22849621942226775,-0.05254066916405677,0.31130892800427984,0.08349342497865495,0.4510437637495094,-0.5553910404650596,0.8475783949597497,-0.38980202364564515,0.5108261808180397,-0.40807210151373835,0.5122344578059581,0.3155142338473786,-0.594698624913869,-0.5532826603173772,0.453514704857295,-0.1575535821072369,0.3394597028526642,-0.2909656536418346,-0.49239000210636624,0.3655273696140079,0.2723137821924345,-0.055107698612014214,0.011015731844722935
AAP,-0.24122574800227867,-0.21730004606094433,-0.4268841265013312,-0.6506284650788021,-0.5491533788824421,0.04866927243146025,-0.476085117568163,-0.8741221166603598,0.37749481662475437,1.73642413604675,0.7396393013792761,1.54435431662773,-1.8109526144786006,1.210997598636992,0.3820380807915685,0.05550696807486993,1.6022980692036908,-0.6801155864023872,-0.9612554527297095,0.4652476905643495,0.016256836693717497,-0.23535622251338495,1.0327686313219948,1.052564453761963,0.9044851115411996,-0.7395035182759343,0.3070418743920341,1.544901677522988,-0.4570119625046912,0.2845651565909923,-0.35154681856928927,-0.6628307301572871,-0.38236212920199714,0.44735678031979936,0.7755815827868989,0.9620657136046531,-0.35870763378017334,0.22763552958529892,-0.9492535006917855,-0.13954654742499314,-0.8405763586783902,-1.7366791721813266,-1.0866832440487786,1.3032394420009514,1.1226381818204063,1.1031213573773213,0.729496150386674,0.29368301899221144,0.9307726823364958,0.6534837053071979,1.7685482310014997,0.7149692175037932,-0.2785981945950472,0.2389127697249149,-0.004444126087376768,0.10283104931976421,1.5539648577083292,1.2377888934910133,1.2521910985743079,1.2104893443697538,-2.2576678930635303,1.841705502971174,-0.1770804570925491,-0.6488531094950095,0.7889160177297784,-0.06858317868894694,1.265031421478953,-0.4526127191614326,-0.5830712615807305,0.3395935114434225,-0.04565480870856831,0.6654270967423536,-0.12390578433754428,0.787982838879869,-0.2088287309720245,0.14610150950512046,0.09620937847422752,-0.024482651500576092,-0.03360968465275734,-0.01780819402405527,0.4517397145599077
AAPL,-0.8353148880876791,-1.4235750632063446,0.7464778867228994,0.137382104170526,0.5064436475557016,-0.3800932253427628,-0.9537378326229813,-0.28530859354560417,0.031109242061286076,0.24920390554344757,-0.649106356452501,-0.7098957343760985,0.004602598935315849,-1.0660281931184263,-1.0969078086230035,0.29767369402608224,0.9911015968494341,0.806727437678827,-1.268639141383315,0.4505638265134282,-0.14092420343439185,-0.6345042524644656,-0.9938014099844252,-0.40843552301629266,-0.1669815480867189,-0.36179684886882085,0.22490440297761585,0.10941032212680848,-0.4500219905976215,-0.13004548010552494,-0.9895363931926888,0.9504558737850602,0.34197353002565467,0.5444152864925208,0.5191036183577281,0.9242136104489969,-0.6265021657658043,0.09056182095311222,0.5274292378539154,2.132584939130034,0.5638938376210885,0.3231548148614931,1.1876907843328395,1.0982770339718533,-0.27920205321576075,1.3070091892328286,1.5201010171866964,-0.5095072346983537,0.7983451408126153,-1.4059926481732932,0.21042803266890617,-0.9413570108279804,-0.23524147207413448,0.9522278059308791,0.8121811336168759,0.2818106041612746,-1.0384500709227598,-1.3838677857665782,-0.0980794267729314,-1.6376861384864985,1.7916778539690268,-1.7314965058414595,-1.4869250635939155,0.8794242647595583,-2.264295174734384,0.256033680321166,0.4763952896691857,1.0164522885448675,-0.401353925137655,-0.3122088987668113,0.7355502966012646,0.9153729390952452,-0.09491648263366563,0.3710535177194664,0.7980199361471623,-0.9787837192228375,0.4258282858631409,-0.2919298788231866,0.678525815969051,-0.048695435111420785,-0.09769233317495563
ABBV,-1.1067648394013079,-0.33528434204736257,-0.30377464499675216,0.6865017740983054,0.6687001202393261,0.4278296340766769,0.45585454002879844,0.5837752566093194,0.5625338637273872,-0.2687960938705796,1.1869754788110851,0.17442252340101297,-0.9876217544679265,-0.2892304625291918,0.7448676703349445,-0.5466399528606697,-0.04208592707984626,-0.9424083837451207,0.7952259424840918,-1.2950942860683625,0.17879307539475636,-1.220211902256305,-0.2242008503318275,1.3146826201385944,0.08079263628857862,-0.8820506624144931,0.11864355256909598,0.8841668918887668,-0.6482752159410561,-0.37068038947969256,0.35329767366832365,1.0643045322602736,-0.021234316461575243,0.06753891234753732,0.10128138337875235,0.31762431247576467,-0.27503087010705946,-0.9080679373919331,-1.0916131095848631,-0.12295324413719073,-0.00724567533894217,0.10826723743720934,-0.19164905435478857,-0.5026777340535395,1.7055465096525972,-0.8007843033547788,0.4488431231175351,0.2013315389595172,-0.718627817386177,0.18534666571616928,0.9664118130599312,-0.7732715329005737,1.1839058962429285,-0.48362409965979386,0.21405212319131922,0.24247666872225615,0.22573709564497757,-0.9887651597262981,-0.4403771861188276,0.2879918113728681,1.276499687906684,0.29653884074627934,0.8801941216523207,0.7410948923223826,-0.9227978656060405,1.099309014456469,-0.3632980004447395,-0.06218354181496507,-0.9144304441783632,0.3567228638129894,-1.130156298818846,0.1907864813874168,-1.8006838088593373,0.07850020200956855,-0.1564503359682119,0.8766160073795838,0.41985320380817337,-1.1196421189483625,0.04369965210843495,-0.04508289229418505,-0.046906737419059145
ABC,-0.5701467260855438,-0.23920435492280004,-1.115876495043655,0.46951119197527824,0.1609141440698206,-0.011878110539626225,-0.20284474149015158,1.1511599955349716,1.2527029081126653,-0.5074107045226837,0.9229394264539474,-0.052685609355779144,-0.5816623859604,0.32324693876296323,0.16778570622244934,-1.6209435710194149,-0.5609268043138795,-2.0789951830317723,1.292904053057332,0.2592562101245776,-0.3692492231891329,-1.0910306983704037,-0.05474180730993296,0.9019179236001674,-0.9878458541003722,0.33843221111777333,-0.6919162053993293,0.6234598286161759,2.5013730819213955,-1.4947002351632026,0.5044494325881825,-0.5247100521943061,-0.8184172842586805,0.2858569442605058,-0.09456131329994286,1.4591112782496565,-0.20782161494361837,1.85061606642471,-0.08636720902284345,0.22482918113624623,-0.3047605258736242,-0.6721978213870469,-0.45807642153062067,-0.5408366299824602,0.5383066965177181,0.4184773245033425,-1.271001170287525,-1.1605826430628017,0.06011739380987549,1.1341269682989779,0.46688295331494656,-0.17438061495383791,-1.2875401884421716,2.0337019106154393,1.318974083737643,-1.1416247178611751,0.7457469502010476,-0.7712244890472852,1.2071771777245024,1.2214505326937102,-0.6036179458570158,1.2972916364313036,0.08747398753888048,0.25120055478539394,-0.38355274929155486,-0.17963946879500955,0.30547381035106946,-0.2194906623638791,0.0463875460329516,-0.4211171269479718,0.13600784296348184,-0.45607386474579265,0.44614911089797055,0.1363665778963533,0.3417683973800808,-0.7573385376788674,-1.1007753782706673,0.11523678017795408,0.693656208093958,-0.039212510216176985,-0.10729673120614176
ABMD,-0.9467367053849792,-0.8853272808274334,0.8928190214900955,-0.04817094310839722,1.0851180822917343,0.16096501390583465,0.5335972619394278,-1.6526305327509614,-0.01486944001300256,-1.0264540453158997,1.2188400394316274,-0.2525803101055503,-0.5817654415789335,1.572235874806767,-1.1336355391110513,-1.0185614568013477,-1.3636002272766972,-0.21179670943553383,0.16588142617247706,-0.09145826451298944,1.8991401505118042,-0.29197659234835543,-1.863335614737145,0.06429950752601146,-0.7485023414338727,2.069379227878784,1.4857698876499963,1.6173395201301433,-0.017417588874625172,-1.0607206805203162,-1.3326494421484,-0.5222248052452312,-0.6975640999360022,0.5579165236743933,-1.588607530242278,-0.673573574313817,-0.23013229416487233,0.620097803524577,-1.3984986014425458,-2.0408167362477956,1.502569731851323,-2.634235292082606,2.2916072782297507,1.296688477240232,-0.699574098254881,0.5381920432214679,-1.3731507034947252,-2.219211424066819,-0.03356917942822951,-1.6459297591541395,-1.3061627636945916,-1.0917196356400418,-0.7459824043443416,0.8314545802884187,2.1348907527415784,0.13848483043100507,-1.100777691862749,2.8957492694454596,-0.8659057563924245,0.9710290332803855,1.4946998473749404,0.5350419131063766,1.0042481680343964,0.2821352394191605,1.6013855619625237,-2.525423998673286,0.3384327034220694,-0.78339076443961,-0.15887148681671487,-0.42043515215769234,0.779969616227936,-0.34990081417387897,1.397797169699606,-1.2357676667879656,-0.09098139945075388,0.6615459369435056,-0.7892791454541755,3.9129358072546445,1.209793049178128,-0.043366934455998075,0.0021705858531333496
ACN,-0.2604635057700735,-0.7604902335282944,-0.1805867374954138,0.2115400419711854,0.5585230994325084,-0.37257442183582906,0.3826053938788723,0.16819221272766424,0.6535686289937297,0.4166949876448208,-0.2877160273318778,-1.029078502694369,-0.6181422984309555,-0.13519325247170597,-0.6945638608423257,-0.8176552633976193,-0.22272433047996892,0.0864402398281444,0.3222757213436572,1.3975854276923392,0.9538003733972152,-0.10680050470864949,0.9322988298276872,0.3571557150349678,-0.40124712874372404,-0.6071179724845048,-0.6684200490957181,0.31422493538409363,-0.035637905280775095,-0.2891677809013213,0.9670853973579482,-0.5625851947826179,-0.31392156686871525,-0.0886125474487429,0.44602942193723794,-0.7422771336725674,0.03703661387839916,-0.6398853316086776,-0.08935697963094208,-0.37775856132119645,0.04613620849499665,0.7600402819260782,-0.9537287116406877,-0.5487738575272172,0.3953993350479483,-0.1631076279218073,-0.6406584442868696,0.5947321375132112,0.5177934039841627,0.3357587586819489,-0.1776782097143165,-0.07271126996787809,-0.6063051555034139,-0.14572586388849526,-0.03179812874707231,-0.09247400381202228,0.19528859705129256,-0.22027848387528495,0.6787168869127698,0.008628448259895566,0.8294564119213241,0.4738688784112824,-0.2684657166278234,0.8527026149635877,-0.2893320996828622,0.1872350251443926,-0.23980611034331056,-0.43199419437581343,-0.258506678705117,-0.28647405939403403,-0.1508182404229389,0.2755301776963874,-0.4347081015455124,-0.7587861687885483,-1.04972807036869,-0.38309199976831754,0.5517363374724015,0.14021286875366798,0.6188322814824488,0.02012350555691993,0.06088646159719661
ADBE,-1.292263928972007,-1.6173592850900658,1.4147703590898948,0.05183996380247727,1.1351481461883286,-0.8788036471966425,-0.1582101181151229,0.36887936465763443,0.27152166622120816,0.9421879487267176,0.31460009986957954,-0.8063949602595679,-1.3055224870893933,-0.34256241881216676,-1.1034717276592538,-0.5362849795102012,0.5121169074251609,1.1420938745155336,-1.0344281226880214,0.7175829052573813,0.6143554795288373,-0.2796126609535118,-0.9213390602330589,-0.6374664233763295,-0.6491029280318854,-1.269576319387321,-0.18156547538530238,0.9198201832052834,-0.745521743241474,-0.5699475900552619,0.4702547731511423,-0.2972453246764323,-0.5399893704760994,0.1996464110277187,0.4494289757575443,-0.06280122154760553,-0.4401987937499508,0.14999470086509556,-0.6211155635609015,-0.3313736714382633,0.23670469959071586,1.5561613716484746,-0.5308221394345262,-0.004023798110445855,0.6191022529876197,0.6131698994541184,0.5835919597816706,-0.2927891501392295,-0.27851896428768796,0.09892872226595603,0.9874701168935692,-0.2342699161907937,0.6675747055419134,0.31494587881936625,-0.5511824579412089,0.3831438773905073,0.35524594326329073,-0.37178242755296936,-1.1949409138170761,-0.9569000830285961,0.33704421942487683,0.2962043798893729,-0.720689434353335,0.01670320246859417,-0.8881136088948709,-0.22590639567258938,-0.37177040513305154,0.7257563977399476,-0.2618066451793118,0.08916887166376451,-0.4228312509807662,0.1398941042862686,-0.2606235434762501,-0.7699858866546614,0.2719827372646425,0.12000837089375163,0.18690953967804194,0.5383307984102342,-0.2237653760280313,-0.042644425892550936,-0.10064577930729425
ADI,-0.2384989230511505,-0.9145749464384919,1.3302318784923035,0.43575452450919483,-0.25513184872712213,-1.3192828314360932,-0.1630540356040614,-0.7835654220989621,-0.03288735870292329,0.6769229141769468,-0.3465672461224801,0.2263098819192857,1.3177397335657288,-1.01558215105947,0.9840712022985303,-0.2623099191743789,-0.31592634515315854,0.6225076409130189,0.10520895990474283,-1.0114685682036673,0.14499237780641783,-0.5029181799104323,-0.678786349501144,-1.473537585325985,1.407109783419154,-0.010133519586934923,0.19347296202160702,-0.18364582894223452,0.2640664518546871,-0.4828658491209929,0.5410373008780657,-0.06735209551464942,-0.06373949985707816,0.5426425936824418,0.30359524224283513,0.0023488056508349344,0.30579246315209724,0.9551888328544942,-0.6296513284287761,-0.37355135986861343,-1.10773916753217,0.033696920262759125,0.6615433640436595,-0.30874133085200256,0.5489034163100361,-1.43031217890768,-0.9745536265239774,0.44006272378750483,0.218175482780915,0.5780705908864634,-0.04718506356757765,0.5043973969184217,-0.6476226632214803,-0.5852445117079152,0.19337547931897767,0.1636350253994953,0.8408898476426908,-0.0004291066902380222,0.2093361291811142,-0.5332205198027856,-0.06826870518436758,-0.9748291524162392,-0.18515778174280537,0.27742557046258026,0.766159028117861,0.8558268330821476,0.07952407886248541,0.6838521889545678,0.7929329820441571,0.7453927028197866,-0.47996498712691615,0.31284848133436355,-0.687775147739476,-0.2046170493011771,0.2784737044523404,-0.9234787065057948,-0.7768493454708755,-0.30778315658805777,-0.5895130881318553,-0.05230797792865652,-0.17705955880168311
ADM,-0.13523681138048416,0.16505490890007013,-0.5892065416656491,0.2290141147724686,-0.7716111725859295,-0.47545163815974695,-0.10298111326498606,-0.19200876503501235,0.1313784012093685,-0.08165219601988663,0.07817434760116529,-0.4745837396855321,0.17216888035216274,0.7746634588830106,-0.5435545946157393,0.1325001498126748,-0.7591180931163487,0.5468673782230578,-0.35721610336264736,-0.5130701388650815,-0.4294465905817139,-0.10221302978133864,0.023188723298186067,-0.46222481098135865,0.5762798843882044,-0.509282239759877,0.02945352022453572,0.5276633254522398,-0.478216826301905,-0.5191676201837443,-0.518577040512886,0.07060219577396919,0.4744331508182188,-0.4586972108928029,0.4524447991294071,-0.3220861958943926,0.7823651616952995,0.3455431008958712,0.4950115563425417,0.8459382029633488,0.4072837069203816,-1.2130677170358677,-1.350219486302536,-0.9893464538480959,0.48770442806400405,-0.45724422185472624,-0.8299696099939297,-0.7653462614943811,-1.0757911844493195,-0.2757310065425871,0.041280129295322626,0.8215715412593687,-0.6098564361866253,-0.1416975147030906,0.30802831075735115,0.7228351714907014,0.11333583489441057,1.3886086806234832,-0.44297378240302965,-0.4550184585751409,-0.26012389874486913,0.8022451079953616,0.4992563014175441,-1.2968089395575446,-0.6935850312041532,-0.378907214102764,-0.9363156996133732,0.30145882440761557,-0.7884904609207548,-1.7100829611004031,-1.4327078927492887,0.1594862380659049,-0.7525873357853645,-0.5200569165216259,-0.6170035925971539,-0.14380867821551258,-0.49099358616626126,-0.821123486672957,0.5685572305599137,-0.05140484222434758,-0.09774168761347304
